news_no,user_no,user_spread_news_no_times,user_number_of_followers,fake_news,news_total_spread_no,user_total_fake_news_spread,user_total_news_spread,user_total_real_news_spread,user_total_probability_sharing_fake_news,user_total_probability_sharing_real_news
87,43,1,45,0,823,0,1,1,0.0,1.0
87,51,1,41,0,823,0,1,1,0.0,1.0
87,64,1,97,0,823,0,1,1,0.0,1.0
172,85,1,7,1,27,1,1,0,1.0,0.0
141,93,1,14,1,128,1,1,0,1.0,0.0
87,133,1,41,0,823,0,1,1,0.0,1.0
87,137,1,72,0,823,0,1,1,0.0,1.0
141,148,1,7,1,128,1,1,0,1.0,0.0
87,153,1,9,0,823,0,1,1,0.0,1.0
87,161,1,42,0,823,0,1,1,0.0,1.0
87,164,1,20,0,823,0,1,1,0.0,1.0
87,177,1,36,0,823,0,1,1,0.0,1.0
87,188,1,2,0,823,0,1,1,0.0,1.0
87,249,1,1,0,823,0,1,1,0.0,1.0
141,251,1,15,1,128,1,1,0,1.0,0.0
87,274,1,4,0,823,0,1,1,0.0,1.0
141,324,1,1,1,128,1,1,0,1.0,0.0
141,327,1,68,1,128,1,1,0,1.0,0.0
87,347,1,80,0,823,0,1,1,0.0,1.0
141,357,2,8,1,128,2,2,0,1.0,0.0
87,360,1,2,0,823,0,1,1,0.0,1.0
141,367,1,2,1,128,1,1,0,1.0,0.0
141,372,1,18,1,128,1,1,0,1.0,0.0
87,396,1,17,0,823,0,1,1,0.0,1.0
87,397,2,174,0,823,0,2,2,0.0,1.0
87,415,1,81,0,823,0,1,1,0.0,1.0
87,416,1,1,0,823,0,1,1,0.0,1.0
87,419,1,68,0,823,0,1,1,0.0,1.0
87,426,1,1,0,823,0,1,1,0.0,1.0
87,449,1,188,0,823,0,1,1,0.0,1.0
28,474,1,1,0,14,0,1,1,0.0,1.0
87,491,1,1,0,823,0,1,1,0.0,1.0
87,499,1,3,0,823,0,1,1,0.0,1.0
87,504,1,11,0,823,0,1,1,0.0,1.0
87,509,1,171,0,823,0,1,1,0.0,1.0
87,547,1,127,0,823,0,1,1,0.0,1.0
141,581,1,1,1,128,1,1,0,1.0,0.0
87,602,1,6,0,823,0,1,1,0.0,1.0
87,617,1,9,0,823,0,1,1,0.0,1.0
87,618,1,1,0,823,0,1,1,0.0,1.0
87,640,1,1,0,823,0,1,1,0.0,1.0
141,656,1,110,1,128,1,1,0,1.0,0.0
87,682,1,34,0,823,0,1,1,0.0,1.0
87,692,2,3,0,823,0,2,2,0.0,1.0
87,706,1,13,0,823,0,1,1,0.0,1.0
87,760,1,12,0,823,0,1,1,0.0,1.0
87,768,1,29,0,823,0,1,1,0.0,1.0
87,781,1,6,0,823,0,1,1,0.0,1.0
87,788,2,125,0,823,0,2,2,0.0,1.0
87,797,1,112,0,823,0,1,1,0.0,1.0
29,802,1,3,0,46,0,2,2,0.0,1.0
87,802,1,3,0,823,0,2,2,0.0,1.0
87,813,3,46,0,823,0,3,3,0.0,1.0
87,815,1,20,0,823,0,1,1,0.0,1.0
87,859,1,1,0,823,0,1,1,0.0,1.0
87,880,1,1,0,823,0,1,1,0.0,1.0
87,884,1,6,0,823,0,1,1,0.0,1.0
52,901,1,12,0,37,0,3,3,0.0,1.0
87,901,2,12,0,823,0,3,3,0.0,1.0
87,932,1,9,0,823,0,1,1,0.0,1.0
29,955,1,22,0,46,0,1,1,0.0,1.0
172,966,1,4,1,27,1,1,0,1.0,0.0
141,969,1,4,1,128,1,1,0,1.0,0.0
141,971,1,8,1,128,1,1,0,1.0,0.0
87,986,1,135,0,823,0,1,1,0.0,1.0
87,1052,1,25,0,823,0,1,1,0.0,1.0
141,1068,1,299,1,128,1,1,0,1.0,0.0
52,1085,1,89,0,37,0,1,1,0.0,1.0
87,1093,1,129,0,823,0,1,1,0.0,1.0
87,1177,1,15,0,823,0,1,1,0.0,1.0
87,1192,1,2,0,823,0,1,1,0.0,1.0
87,1197,1,0,0,823,0,1,1,0.0,1.0
29,1210,1,24,0,46,0,2,2,0.0,1.0
87,1210,1,24,0,823,0,2,2,0.0,1.0
87,1217,1,1,0,823,0,1,1,0.0,1.0
87,1245,1,12,0,823,0,1,1,0.0,1.0
87,1247,1,2,0,823,0,1,1,0.0,1.0
87,1267,1,1,0,823,0,1,1,0.0,1.0
87,1279,1,10,0,823,0,1,1,0.0,1.0
87,1327,1,18,0,823,0,1,1,0.0,1.0
87,1367,1,4,0,823,0,1,1,0.0,1.0
141,1370,1,89,1,128,1,1,0,1.0,0.0
87,1385,1,34,0,823,0,1,1,0.0,1.0
87,1386,1,40,0,823,0,1,1,0.0,1.0
29,1400,1,150,0,46,0,1,1,0.0,1.0
87,1425,1,60,0,823,0,1,1,0.0,1.0
87,1431,3,4,0,823,0,3,3,0.0,1.0
87,1449,1,112,0,823,0,1,1,0.0,1.0
87,1455,1,5,0,823,0,1,1,0.0,1.0
141,1461,1,2,1,128,1,1,0,1.0,0.0
87,1463,1,2,0,823,0,1,1,0.0,1.0
29,1478,1,59,0,46,0,1,1,0.0,1.0
87,1489,1,557,0,823,0,1,1,0.0,1.0
87,1491,1,1,0,823,0,1,1,0.0,1.0
141,1492,2,8,1,128,2,2,0,1.0,0.0
87,1504,1,17,0,823,0,1,1,0.0,1.0
87,1530,1,0,0,823,0,1,1,0.0,1.0
29,1532,1,47,0,46,0,1,1,0.0,1.0
172,1536,1,37,1,27,1,1,0,1.0,0.0
87,1566,1,603,0,823,0,1,1,0.0,1.0
87,1572,1,132,0,823,0,1,1,0.0,1.0
87,1582,1,20,0,823,0,1,1,0.0,1.0
52,1589,1,14,0,37,0,2,2,0.0,1.0
87,1589,1,14,0,823,0,2,2,0.0,1.0
87,1601,1,15,0,823,0,1,1,0.0,1.0
87,1610,1,115,0,823,0,1,1,0.0,1.0
141,1624,1,31,1,128,1,1,0,1.0,0.0
141,1629,1,1,1,128,1,1,0,1.0,0.0
52,1636,2,24,0,37,0,2,2,0.0,1.0
87,1655,1,10,0,823,0,1,1,0.0,1.0
87,1665,1,88,0,823,0,1,1,0.0,1.0
87,1685,1,11,0,823,0,1,1,0.0,1.0
87,1690,1,3,0,823,0,1,1,0.0,1.0
87,1720,1,1,0,823,0,1,1,0.0,1.0
141,1728,1,18,1,128,1,1,0,1.0,0.0
87,1736,1,26,0,823,0,1,1,0.0,1.0
87,1772,1,17,0,823,0,1,1,0.0,1.0
87,1780,1,3,0,823,0,1,1,0.0,1.0
87,1787,1,43,0,823,0,1,1,0.0,1.0
87,1794,1,139,0,823,0,1,1,0.0,1.0
87,1814,1,77,0,823,0,1,1,0.0,1.0
87,1817,1,0,0,823,0,1,1,0.0,1.0
87,1831,2,9,0,823,0,2,2,0.0,1.0
87,1867,1,25,0,823,0,1,1,0.0,1.0
87,1877,1,3,0,823,0,1,1,0.0,1.0
87,1940,1,81,0,823,0,1,1,0.0,1.0
87,1941,1,7,0,823,0,1,1,0.0,1.0
29,1943,1,0,0,46,0,1,1,0.0,1.0
87,1976,1,23,0,823,0,1,1,0.0,1.0
141,1983,1,11,1,128,1,1,0,1.0,0.0
141,1985,1,18,1,128,1,1,0,1.0,0.0
87,1995,1,124,0,823,0,1,1,0.0,1.0
87,2021,1,10,0,823,0,1,1,0.0,1.0
87,2024,1,138,0,823,0,1,1,0.0,1.0
87,2032,1,7,0,823,0,1,1,0.0,1.0
172,2033,1,3,1,27,1,1,0,1.0,0.0
87,2049,1,26,0,823,0,1,1,0.0,1.0
87,2075,1,72,0,823,0,1,1,0.0,1.0
87,2099,1,28,0,823,0,1,1,0.0,1.0
87,2110,1,77,0,823,0,1,1,0.0,1.0
87,2120,1,9,0,823,0,1,1,0.0,1.0
87,2152,2,21,0,823,0,2,2,0.0,1.0
87,2197,1,22,0,823,0,1,1,0.0,1.0
87,2203,1,11,0,823,0,1,1,0.0,1.0
141,2234,1,3,1,128,1,1,0,1.0,0.0
87,2240,1,3,0,823,0,1,1,0.0,1.0
87,2246,1,82,0,823,0,1,1,0.0,1.0
87,2264,1,36,0,823,0,1,1,0.0,1.0
52,2281,1,26,0,37,0,1,1,0.0,1.0
87,2314,1,3,0,823,0,1,1,0.0,1.0
87,2390,1,1,0,823,0,1,1,0.0,1.0
87,2412,1,0,0,823,0,1,1,0.0,1.0
87,2417,1,60,0,823,0,1,1,0.0,1.0
87,2427,1,144,0,823,0,1,1,0.0,1.0
87,2438,1,5,0,823,0,1,1,0.0,1.0
87,2464,1,5,0,823,0,1,1,0.0,1.0
87,2479,1,25,0,823,0,1,1,0.0,1.0
87,2536,1,1,0,823,0,1,1,0.0,1.0
87,2546,1,2,0,823,0,1,1,0.0,1.0
87,2573,1,105,0,823,0,1,1,0.0,1.0
87,2580,1,111,0,823,0,1,1,0.0,1.0
87,2584,1,11,0,823,0,1,1,0.0,1.0
29,2596,1,161,0,46,0,2,2,0.0,1.0
87,2596,1,161,0,823,0,2,2,0.0,1.0
87,2620,1,26,0,823,0,1,1,0.0,1.0
141,2654,1,9,1,128,1,1,0,1.0,0.0
29,2671,1,29,0,46,1,3,2,0.33,0.67
87,2671,1,29,0,823,1,3,2,0.33,0.67
141,2671,1,29,1,128,1,3,2,0.33,0.67
52,2689,1,48,0,37,0,1,1,0.0,1.0
141,2698,2,1,1,128,2,2,0,1.0,0.0
141,2705,1,32,1,128,1,1,0,1.0,0.0
87,2710,1,3,0,823,0,1,1,0.0,1.0
87,2722,1,6,0,823,0,1,1,0.0,1.0
87,2804,1,0,0,823,0,1,1,0.0,1.0
172,2806,1,1,1,27,1,1,0,1.0,0.0
87,2814,2,47,0,823,0,2,2,0.0,1.0
87,2823,1,38,0,823,0,1,1,0.0,1.0
29,2837,1,13,0,46,0,1,1,0.0,1.0
87,2851,1,21,0,823,0,1,1,0.0,1.0
52,2863,1,14,0,37,0,2,2,0.0,1.0
87,2863,1,14,0,823,0,2,2,0.0,1.0
87,2899,1,2,0,823,0,1,1,0.0,1.0
87,2927,1,15,0,823,0,1,1,0.0,1.0
87,2933,1,46,0,823,0,1,1,0.0,1.0
141,2948,1,1,1,128,1,1,0,1.0,0.0
87,2964,2,32,0,823,0,2,2,0.0,1.0
87,2965,1,78,0,823,0,1,1,0.0,1.0
87,3002,1,30,0,823,0,1,1,0.0,1.0
141,3031,1,112,1,128,1,1,0,1.0,0.0
141,3035,1,14,1,128,1,1,0,1.0,0.0
87,3056,1,45,0,823,0,1,1,0.0,1.0
87,3062,1,23,0,823,0,1,1,0.0,1.0
87,3073,1,14,0,823,0,1,1,0.0,1.0
87,3080,1,1,0,823,0,1,1,0.0,1.0
87,3087,1,3,0,823,0,1,1,0.0,1.0
141,3120,1,5,1,128,1,1,0,1.0,0.0
52,3130,1,49,0,37,0,1,1,0.0,1.0
87,3139,1,30,0,823,0,1,1,0.0,1.0
87,3143,1,3,0,823,0,1,1,0.0,1.0
87,3147,1,12,0,823,0,1,1,0.0,1.0
87,3163,2,0,0,823,0,2,2,0.0,1.0
87,3170,1,1,0,823,0,1,1,0.0,1.0
87,3177,1,191,0,823,0,1,1,0.0,1.0
87,3182,1,12,0,823,0,1,1,0.0,1.0
141,3213,1,165,1,128,1,1,0,1.0,0.0
52,3222,2,7,0,37,0,2,2,0.0,1.0
87,3246,1,0,0,823,0,1,1,0.0,1.0
87,3252,1,4,0,823,0,1,1,0.0,1.0
87,3254,1,1,0,823,0,1,1,0.0,1.0
52,3260,2,4,0,37,0,2,2,0.0,1.0
87,3271,1,23,0,823,0,1,1,0.0,1.0
87,3274,1,7,0,823,0,1,1,0.0,1.0
87,3285,2,3,0,823,0,2,2,0.0,1.0
141,3294,2,69,1,128,2,2,0,1.0,0.0
141,3308,1,1,1,128,1,1,0,1.0,0.0
87,3313,1,2,0,823,0,1,1,0.0,1.0
87,3346,1,33,0,823,0,1,1,0.0,1.0
87,3372,1,14,0,823,0,1,1,0.0,1.0
87,3375,1,105,0,823,0,1,1,0.0,1.0
29,3390,1,61,0,46,0,1,1,0.0,1.0
87,3405,2,162,0,823,0,2,2,0.0,1.0
141,3406,1,3,1,128,1,1,0,1.0,0.0
141,3418,1,7,1,128,1,1,0,1.0,0.0
87,3453,1,1,0,823,0,1,1,0.0,1.0
87,3475,1,36,0,823,0,1,1,0.0,1.0
87,3477,1,11,0,823,0,1,1,0.0,1.0
87,3570,1,11,0,823,0,1,1,0.0,1.0
87,3572,1,48,0,823,0,1,1,0.0,1.0
87,3591,1,52,0,823,0,1,1,0.0,1.0
52,3610,1,80,0,37,0,1,1,0.0,1.0
87,3617,1,3,0,823,0,1,1,0.0,1.0
29,3641,1,10,0,46,0,1,1,0.0,1.0
87,3655,2,109,0,823,0,2,2,0.0,1.0
87,3666,1,10,0,823,0,1,1,0.0,1.0
87,3686,1,50,0,823,0,1,1,0.0,1.0
87,3688,1,43,0,823,0,1,1,0.0,1.0
141,3732,1,18,1,128,1,1,0,1.0,0.0
141,3744,1,116,1,128,1,1,0,1.0,0.0
87,3757,1,56,0,823,0,1,1,0.0,1.0
87,3763,1,104,0,823,0,1,1,0.0,1.0
87,3779,1,10,0,823,0,1,1,0.0,1.0
52,3781,1,25,0,37,0,1,1,0.0,1.0
141,3815,1,104,1,128,1,1,0,1.0,0.0
87,3826,1,2,0,823,0,1,1,0.0,1.0
87,3832,1,160,0,823,0,1,1,0.0,1.0
141,3844,1,3,1,128,1,1,0,1.0,0.0
87,3848,1,89,0,823,0,1,1,0.0,1.0
52,3877,1,37,0,37,0,1,1,0.0,1.0
87,3888,1,3,0,823,0,1,1,0.0,1.0
87,3901,1,231,0,823,0,1,1,0.0,1.0
28,3926,1,1,0,14,0,1,1,0.0,1.0
87,3937,1,91,0,823,0,1,1,0.0,1.0
141,3959,1,31,1,128,1,1,0,1.0,0.0
87,3965,1,18,0,823,0,1,1,0.0,1.0
87,3967,1,8,0,823,0,1,1,0.0,1.0
87,3971,1,133,0,823,0,1,1,0.0,1.0
87,3975,1,0,0,823,0,1,1,0.0,1.0
87,3980,1,4,0,823,0,1,1,0.0,1.0
52,4001,1,18,0,37,0,2,2,0.0,1.0
87,4001,1,18,0,823,0,2,2,0.0,1.0
87,4018,1,2,0,823,0,1,1,0.0,1.0
87,4021,1,38,0,823,0,1,1,0.0,1.0
87,4042,1,5,0,823,0,1,1,0.0,1.0
87,4047,1,149,0,823,0,1,1,0.0,1.0
141,4053,1,7,1,128,1,1,0,1.0,0.0
87,4056,1,71,0,823,0,1,1,0.0,1.0
87,4058,1,2,0,823,0,1,1,0.0,1.0
29,4061,1,27,0,46,0,1,1,0.0,1.0
87,4064,1,48,0,823,0,1,1,0.0,1.0
141,4092,1,79,1,128,1,1,0,1.0,0.0
87,4121,1,4,0,823,0,1,1,0.0,1.0
87,4141,1,1,0,823,0,1,1,0.0,1.0
87,4142,1,115,0,823,0,1,1,0.0,1.0
141,4143,1,37,1,128,1,1,0,1.0,0.0
141,4144,1,25,1,128,1,1,0,1.0,0.0
87,4166,1,3,0,823,0,1,1,0.0,1.0
87,4173,2,154,0,823,0,2,2,0.0,1.0
87,4177,1,57,0,823,0,1,1,0.0,1.0
87,4188,1,29,0,823,0,1,1,0.0,1.0
28,4205,1,9,0,14,0,1,1,0.0,1.0
87,4207,1,18,0,823,0,1,1,0.0,1.0
87,4260,1,27,0,823,0,1,1,0.0,1.0
87,4275,1,3,0,823,0,1,1,0.0,1.0
141,4302,1,4,1,128,1,1,0,1.0,0.0
87,4309,1,5,0,823,0,1,1,0.0,1.0
87,4312,1,6,0,823,0,1,1,0.0,1.0
87,4329,1,11,0,823,0,1,1,0.0,1.0
87,4343,1,5,0,823,0,1,1,0.0,1.0
87,4347,1,3,0,823,0,1,1,0.0,1.0
52,4350,1,15,0,37,0,1,1,0.0,1.0
87,4370,1,12,0,823,0,1,1,0.0,1.0
87,4394,1,163,0,823,0,1,1,0.0,1.0
87,4398,1,1,0,823,0,1,1,0.0,1.0
87,4412,1,15,0,823,0,1,1,0.0,1.0
87,4442,1,5,0,823,0,1,1,0.0,1.0
29,4463,1,1,0,46,0,2,2,0.0,1.0
87,4463,1,1,0,823,0,2,2,0.0,1.0
87,4478,1,77,0,823,0,1,1,0.0,1.0
87,4487,1,44,0,823,0,1,1,0.0,1.0
87,4524,1,25,0,823,0,1,1,0.0,1.0
87,4532,1,29,0,823,0,1,1,0.0,1.0
87,4535,1,31,0,823,0,1,1,0.0,1.0
52,4537,1,58,0,37,0,1,1,0.0,1.0
87,4576,1,14,0,823,0,1,1,0.0,1.0
87,4596,1,372,0,823,0,1,1,0.0,1.0
87,4603,1,0,0,823,0,1,1,0.0,1.0
87,4606,1,13,0,823,0,1,1,0.0,1.0
87,4626,1,137,0,823,0,1,1,0.0,1.0
87,4631,1,23,0,823,0,1,1,0.0,1.0
87,4640,1,8,0,823,0,1,1,0.0,1.0
87,4648,1,133,0,823,0,1,1,0.0,1.0
87,4657,1,25,0,823,0,1,1,0.0,1.0
87,4704,1,2,0,823,0,1,1,0.0,1.0
141,4705,1,10,1,128,1,1,0,1.0,0.0
87,4735,1,0,0,823,0,1,1,0.0,1.0
141,4746,1,9,1,128,1,1,0,1.0,0.0
87,4754,1,8,0,823,0,1,1,0.0,1.0
87,4771,1,2,0,823,0,1,1,0.0,1.0
87,4775,1,29,0,823,0,1,1,0.0,1.0
52,4779,1,5,0,37,0,1,1,0.0,1.0
87,4800,1,11,0,823,0,1,1,0.0,1.0
87,4806,1,7,0,823,0,1,1,0.0,1.0
87,4815,1,23,0,823,0,1,1,0.0,1.0
87,4818,1,15,0,823,0,1,1,0.0,1.0
87,4863,1,4,0,823,0,1,1,0.0,1.0
87,4880,1,32,0,823,0,1,1,0.0,1.0
141,4886,1,668,1,128,1,1,0,1.0,0.0
